"the ice harvest (2005)","19"
"the curse of the jade scorpion (2001)","19"
"17 again (2009)","19"
"underworld: evolution (2006)","19"
"silver city (2004)","19"
"eternal sunshine of the spotless mind (2004)","19"
"stardust (2007)","19"
"saw (2004)","19"
"frida (2002)","19"
"birth (2004)","19"
"wonder boys (2000)","19"
"the missing person (2009)","19"
"unthinkable (2010)","19"
"chasing 3000 (2008)","19"
"unfaithful (2002)","19"
"walking tall (2004)","19"
"life is hot in cracktown (2009)","19"
"pit fighters (2008)","19"
"the big empty (2003)","19"
"neverwas (2005)","19"
"the girl next door (2004)","19"
"tears of the sun (2003)","19"
"the recruit (2003)","19"
"the hebrew hammer (2003)","19"
"appaloosa (2008)","19"
"youth in revolt (2009)","19"
"shall we dance (2004)","19"
"the lake house (2006)","19"
"the prime gig (2000)","19"
"titan a.e. (2000)","19"
"fierce people (2005)","19"
"sky captain and the world of tomorrow (2004)","19"
"laurel canyon (2002)","19"
"keane (2004)","19"
"the runaways (2010)","19"
"chromophobia (2005)","19"
"formosa betrayed (2009)","19"
"vantage point (2008)","19"
"reservation road (2007)","19"
"transporter 2 (2005)","19"
"disturbia (2007)","19"
"madison (2001)","19"
"griffin & phoenix (2006)","19"
"man of the year (2006)","19"
"the greatest game ever played (2005)","19"
"eulogy (2004)","19"
"traitor (2008)","19"
"hart's war (2002)","19"
"the life aquatic with steve zissou (2004)","19"
"my first mister (2001)","19"
"fantastic mr. fox (2009)","19"
"melvin goes to dinner (2003)","18"
"assassination of a high school president (2008)","18"
"zigzag (2002)","18"
"saw ii (2005)","18"
"breach (2007)","18"
"pumpkin (2002)","18"
"once more with feeling (2009)","18"
"flash of genius (2008)","18"
"friday night lights (2004)","18"
"goal! (2005)","18"
"vampire hunter d: bloodlust (2000)","18"
"8 mile (2002)","18"
"the nines (2007)","18"
"shallow hal (2001)","18"
"emmett's mark (2002)","18"
"the good night (2007)","18"
"step up (2006)","18"
"saint john of las vegas (2009)","17"
"passionada (2002)","17"
"two family house (2000)","17"
"diary of the dead (2007)","17"
"match point (2005)","17"
"brokeback mountain (2005)","17"
"the final season (2007)","17"
"the way of the gun (2000)","17"
"lars and the real girl (2007)","17"
"basic (2003)","17"
"the hunting party (2007)","17"
"marie antoinette (2006)","17"
"the greatest (2009)","17"
"city island (2009)","17"
"the darjeeling limited (2007)","17"
"spanglish (2004)","17"
"leo (2002)","17"
"love and other impossible pursuits (2009)","17"
"brooklyn rules (2007)","17"
"hot rod (2007)","17"
"the da vinci code (2006)","17"
"the fast and the furious (2001)","17"
"thirteen (2003)","17"
"the independent (2000)","17"
"rails & ties (2007)","17"
"sunshine state (2002)","17"
"unconditional love (2002)","17"
"awake (2007)","17"
"a dog year (2009)","17"
"employee of the month (2004)","17"
"the bourne identity (2002)","17"
"fireflies in the garden (2008)","17"
"washington heights (2002)","17"
"thumbsucker (2005)","17"
"the sisters (2005)","17"
"children of men (2006)","17"
"the pursuit of happyness (2006)","17"
"the air i breathe (2007)","17"
"the ultimate gift (2006)","17"
"11:14 (2003)","17"
"our very own (2005)","17"
"the last castle (2001)","17"
"women in trouble (2009)","17"
"steal this movie (2000)","17"
"the hottest state (2006)","17"
"duane hopwood (2005)","17"
"cassandra's dream (2007)","17"
"being julia (2004)","17"
"underworld (2003)","17"
"the man from elysian fields (2001)","17"
"antitrust (2001)","17"
