movie	actor
1024	499
1844	566
2547	1659
1284	731
2463	371
147	782
1221	143
1992	1947
1575	1763
2702	1220
1838	1823
374	1409
1114	556
2014	723
1609	1522
2368	1629
877	120
1063	993
1319	1765
979	1693
580	1278
2054	1627
688	1188
1157	1782
2773	570
229	1023
1396	1581
476	1542
1972	1488
554	1156
1106	1092
1875	788
1340	1260
261	705
2183	521
2727	1151
2766	1695
1364	918
2382	1453
623	1715
1292	1581
2379	670
585	1672
1437	836
901	1187
55	344
640	1736
1411	1861
1395	1533
889	246
966	1130
2197	1388
683	1767
1840	915
1559	758
1913	1279
207	906
1446	1342
1334	1769
2309	187
553	795
92	513
1394	693
278	40
2438	517
2166	211
2307	261
2400	1619
2173	1195
2394	1332
1462	1026
175	259
829	1639
1470	1572
2805	1980
2566	512
1066	1548
1766	1534
2606	1377
1339	316
2720	1037
48	308
1601	1368
1293	631
2189	18
357	1005
1313	1684
1884	446
1928	1818
2621	1110
2501	216
2358	181
2795	1533
2001	1286
2107	24
2054	225
937	1440
73	404
606	935
2534	1611
2111	1125
2207	1038
412	275
1456	485
699	1723
1937	1659
896	749
1328	844
1109	1074
1551	1725
2661	575
1191	1956
2643	486
2321	819
586	339
1821	113
917	234
2645	1792
768	1683
2782	563
2524	1789
1714	702
2366	780
1223	600
1757	1395
630	1725
2633	1925
357	813
2522	660
2438	1796
1547	892
1158	520
22	118
602	1410
2503	87
706	643
594	638
998	929
1314	836
600	1632
2716	1673
22	6
493	1460
1733	1663
1904	417
550	984
1165	476
1157	895
1551	533
2229	609
1757	1333
2635	1649
2618	1864
2091	1277
831	1543
442	1294
2338	1411
2618	1754
1588	348
1129	663
2238	1309
2469	726
493	1297
2166	1942
2722	1090
157	816
1635	213
1370	502
740	757
2326	600
950	293
1467	1651
1577	1522
2184	992
1830	631
754	854
2252	1949
2367	1524
1795	816
1832	1624
2455	1685
1017	813
730	1790
898	1710
302	1272
1760	1190
600	628
580	1665
2800	214
2416	1800
1847	380
1499	1251
2373	256
732	1273
1381	1219
2385	1041
1476	440
973	150
1715	933
730	954
2368	1178
2264	1546
623	1717
2138	884
1771	1659
2054	29
856	894
910	1478
917	1578
2675	1906
1407	907
1999	496
2519	1438
1460	1315
1551	114
2412	112
909	110
2172	69
298	1263
220	995
2726	781
2824	705
1869	1737
765	1545
167	814
2532	870
795	709
1722	969
605	672
440	1234
359	1253
1650	980
291	1241
711	917
1643	1759
1989	671
2264	1552
1155	1238
1639	1680
1830	1349
792	1820
1543	915
1857	756
612	1711
2464	876
2313	1633
1359	586
1534	1259
2635	94
600	713
1960	336
1268	1426
1070	1605
267	168
2645	1153
1525	1440
580	1666
2415	1477
1317	1181
900	1696
827	1611
2305	300
807	972
1932	835
2446	756
1501	228
1275	1971
915	1739
1617	1041
2734	1446
2537	1410
2311	741
2596	1337
1059	758
1556	1307
699	60
2333	1995
327	114
1737	1689
1860	1283
242	1043
683	947
2054	955
283	51
2446	1365
227	491
1760	187
545	1631
329	1353
1325	413
961	999
1895	324
1539	581
1716	1447
2012	1394
2702	1126
2436	1725
1921	1813
2177	228
2426	394
606	1622
1225	462
266	1156
1840	1023
597	895
2586	681
2209	379
424	1440
413	951
1524	449
1	8
1224	1782
27	198
1089	1039
1280	83
756	208
1917	1859
2172	610
2424	495
2682	1471
2777	451
2366	1472
2797	1728
1322	1791
2737	1626
1512	532
2308	1683
25	166
2607	931
1486	35
2366	1828
1838	46
2485	897
17	55
2655	1626
30	237
498	163
2054	1013
1888	1433
1921	795
814	1670
2475	1721
1155	1688
1044	146
1972	969
17	65
1092	342
2648	1941
2501	1853
1805	202
1191	377
1512	945
1291	993
241	1057
890	1355
822	1366
1050	1157
374	930
1579	627
33	243
784	1273
995	1215
1191	797
729	353
1993	601
2550	1504
2121	1305
1998	1938
2024	1689
1707	7
1047	1441
873	1431
143	770
2606	919
2575	33
2133	137
2013	610
2692	1185
2438	721
706	1761
150	787
191	897
2739	423
937	1897
1101	1636
1870	797
162	78
895	1311
763	108
491	1433
1639	1218
1476	841
2712	804
77	448
2086	1536
2183	839
794	1311
2077	869
1485	717
1673	1925
644	1624
322	657
1784	604
2577	1416
1020	719
1934	208
594	615
1174	1315
2600	481
1830	1544
2552	1087
2586	1907
1415	1456
1857	1586
27	191
72	402
305	983
465	1531
2606	1346
2123	808
2744	767
22	94
1451	945
1503	1802
628	953
278	1205
1261	1463
1758	410
2761	1172
1930	1670
1415	123
2202	667
2783	636
2222	1168
1832	1825
2075	658
600	1690
1714	527
2463	1652
961	869
627	353
506	241
2501	1590
961	1010
821	740
2539	1592
990	676
2483	1676
402	907
96	549
2252	1786
1285	506
1786	765
2542	3
162	537
2065	60
393	65
158	818
1516	360
1256	611
1360	1844
2827	1844
908	616
494	1122
2607	132
1511	1502
212	960
1664	222
2737	1801
2168	1234
1718	376
577	386
309	1290
1369	1965
2579	51
580	593
2330	416
1769	1207
1394	585
2456	1312
590	1263
1272	209
217	634
1182	1851
1261	1553
2758	63
993	571
1701	273
1797	44
2806	757
161	15
68	387
1739	1702
249	1097
1897	1053
2686	1897
2618	277
286	1194
1750	882
97	392
905	298
2017	202
2568	677
364	1395
327	1332
1091	1580
34	25
2332	752
1766	1519
1838	1827
1452	601
1905	1522
142	757
